nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
0,6108.332857173022,0.0,0.0,1.0,0.0,100.0,0.0
0,6155.876053728447,0.0,0.0,1.0,0.0,100.0,0.0
0,6203.203954825279,0.0,0.0,1.0,0.0,100.0,0.0
0,6250.308555311466,0.0,0.0,1.0,0.0,100.0,0.0
0,6297.182012344497,0.0,0.0,1.0,0.0,100.0,0.0
0,6343.8166499982,0.0,0.0,1.0,0.0,100.0,0.0
0,6390.204963620572,0.0,0.0,1.0,0.0,100.0,0.0
0,6436.33962393882,0.0,0.0,1.0,0.0,100.0,0.0
0,6482.213480908221,0.0,0.0,1.0,0.0,100.0,0.0
0,6527.81956730225,0.0,0.0,1.0,0.0,100.0,0.0
0,6573.151102041792,0.0,0.0,1.0,0.0,100.0,0.0
0,6618.201493262078,0.0,0.0,1.0,0.0,100.0,0.0
0,6662.964341116492,0.0,0.0,1.0,0.0,100.0,0.0
0,6707.433440316836,0.0,0.0,1.0,0.0,100.0,0.0
0,6751.602782410614,0.0,0.0,1.0,0.0,100.0,0.0
0,6795.466557795915,0.0,0.0,1.0,0.0,100.0,0.0
0,6839.019157475588,0.0,0.0,1.0,0.0,100.0,0.0
0,6882.255174552464,0.0,0.0,1.0,0.0,100.0,0.0
0,6925.169405468205,0.0,0.0,1.0,0.0,100.0,0.0
0,6967.756850988707,0.0,0.0,1.0,0.0,100.0,0.0
0,7010.012716939482,0.0,0.0,1.0,0.0,100.0,0.0
0,7051.932414694961,0.0,0.0,1.0,0.0,100.0,0.0
0,7093.511561426012,0.0,0.0,1.0,0.0,100.0,0.0
0,7134.745980110362,0.0,0.0,1.0,0.0,100.0,0.0
0,7175.6316993111695,0.0,0.0,1.0,0.0,100.0,0.0
0,7216.1649527290765,0.0,0.0,1.0,0.0,100.0,0.0
0,7256.342178533665,0.0,0.0,1.0,0.0,100.0,0.0
0,7296.160018480403,0.0,0.0,1.0,0.0,100.0,0.0
0,7335.615316819466,0.0,0.0,1.0,0.0,100.0,0.0
0,7374.705119003142,0.0,0.0,1.0,0.0,100.0,0.0
0,7413.426670198705,0.0,0.0,1.0,0.0,100.0,0.0
0,7451.77741361385,0.0,0.0,1.0,0.0,100.0,0.0
0,7489.754988642036,0.0,0.0,1.0,0.0,100.0,0.0
0,7527.357228835101,0.0,0.0,1.0,0.0,100.0,0.0
0,7564.5821597108115,0.0,0.0,1.0,0.0,100.0,0.0
0,7601.427996402999,0.0,0.0,1.0,0.0,100.0,0.0
0,7637.893141162058,0.0,0.0,1.0,0.0,100.0,0.0
0,7673.9761807136765,0.0,0.0,1.0,0.0,100.0,0.0
0,7709.675883483628,0.0,0.0,1.0,0.0,100.0,0.0
0,7744.991196696567,0.0,0.0,1.0,0.0,100.0,0.0
0,7779.921243356679,0.0,0.0,1.0,0.0,100.0,0.0
0,7814.465319118146,0.0,0.0,1.0,0.0,100.0,0.0
0,7848.622889053112,0.0,0.0,1.0,0.0,100.0,0.0
0,7882.3935843250365,0.0,0.0,1.0,0.0,100.0,0.0
0,7915.777198775123,0.0,0.0,1.0,0.0,100.0,0.0
0,7948.773685429331,0.0,0.0,1.0,0.0,100.0,0.0
0,7981.38315293357,0.0,0.0,1.0,0.0,100.0,0.0
0,8013.605861924373,0.0,0.0,1.0,0.0,100.0,0.0
0,8045.442221342326,0.0,0.0,1.0,0.0,100.0,0.0
0,8076.892784695265,0.0,0.0,1.0,0.0,100.0,0.0
0,8107.958246278235,0.0,0.0,1.0,0.0,100.0,0.0
0,8138.639437357022,0.0,0.0,1.0,0.0,100.0,0.0
0,8168.937322321555,0.0,0.0,1.0,0.0,100.0,0.0
0,8198.85299481595,0.0,0.0,1.0,0.0,100.0,0.0
0,8228.38767385106,0.0,0.0,1.0,0.0,100.0,0.0
